ID	AC	DE	GA	TP	ML	CL	NE	AC_version
1-cysPrx_C	PF10417	C-terminal domain of 1-Cys peroxiredoxin	21.1; 21.1;	Domain	41			PF10417.14
10_blade	PF21734	10-bladed beta propeller domain	27; 27;	Repeat	345	CL0186		PF21734.3
117-like_vir	PF21578	Virus, 117-like	27; 27;	Family	101	CL0070		PF21578.3
120_Rick_ant	PF12574	120 KDa Rickettsia surface antigen	25; 25;	Family	240			PF12574.13
12TM_1	PF09847	Membrane protein of 12 TMs	33.2; 33.2;	Family	448	CL0181		PF09847.15
14-3-3	PF00244	14-3-3 protein	33.2; 33.2;	Repeat	223	CL0020		PF00244.26
17kDa_Anti_2	PF16998	17 kDa outer membrane surface antigen	26.6; 26.6;	Family	116	CL0500		PF16998.10
2-Hacid_dh	PF00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	24.6; 24.6;	Domain	134	CL0063	2-Hacid_dh_C	PF00389.36
2-Hacid_dh_C	PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	25.1; 25.1;	Domain	178	CL0063		PF02826.25
2-oxoacid_dh	PF00198	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	23; 23;	Domain	232	CL0149		PF00198.28
2-oxogl_dehyd_N	PF16078	2-oxoglutarate dehydrogenase N-terminus	27; 27;	Family	41			PF16078.10
2-ph_phosp	PF04029	2-phosphosulpholactate phosphatase	26.4; 26.4;	Family	226			PF04029.19
2-thiour_desulf	PF04463	2-thiouracil desulfurase	34.7; 34.7;	Family	141			PF04463.17
23ISL	PF16620	Unstructured linker between I-set domains 2 and 3 on MYLCK	25; 25;	Disordered	146			PF16620.10
23S_rRNA_IVP	PF05635	23S rRNA-intervening sequence protein	33.8; 33.8;	Family	106	CL0854		PF05635.17
2B_soluble	PF20758	2B protein soluble domain	27; 27;	Domain	142			PF20758.2
2CompARG	PF22545	2-Component system ADP-ribose glycohydrolase domain	27; 27;	Domain	170	CL0223		PF22545.2
2CompART	PF22546	2-Component system ADP-ribosyltransferase domain	27; 27;	Domain	120	CL0084		PF22546.2
2CSK_N	PF08521	Two-component sensor kinase N-terminal	23.2; 23.2;	Family	140	CL0165		PF08521.16
2C_adapt	PF08793	2-cysteine adaptor domain	22; 22;	Domain	35			PF08793.15
2EXR	PF20150	2EXR family	24.8; 24.8;	Family	94	CL0870		PF20150.5
2Fe-2S_Ferredox	PF11591	Ferredoxin chloroplastic transit peptide	25; 25;	Family	34			PF11591.13
2Fe-2S_thioredx	PF01257	Thioredoxin-like [2Fe-2S] ferredoxin	24.8; 24.8;	Family	145	CL0172		PF01257.25
2H-phosphodiest	PF08975	Domain of unknown function (DUF1868)	21; 21;	Domain	116	CL0247		PF08975.16
